Student_ID,Age,Country,Avg_Daily_Usage_Hours,Sleep_Hours_Per_Night,Conflicts_Over_Social_Media,Academic_Level_Graduate,Academic_Level_High_School,Academic_Level_Undergraduate,Most_Used_Platform_Facebook,Most_Used_Platform_Instagram,Most_Used_Platform_KakaoTalk,Most_Used_Platform_LINE,Most_Used_Platform_LinkedIn,Most_Used_Platform_Snapchat,Most_Used_Platform_TikTok,Most_Used_Platform_Twitter,Most_Used_Platform_VKontakte,Most_Used_Platform_WeChat,Most_Used_Platform_WhatsApp,Most_Used_Platform_YouTube,Relationship_Status_Complicated,Relationship_Status_In_Relationship,Relationship_Status_Single,Gender_Female,Gender_Male,Mental_Health_Score,Addicted_Score,Affects_Academic_Performance
45,18,Argentina,5.5,5.3,4,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,3,7,True
46,23,Chile,2.7,7.1,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,7,3,False
47,19,Colombia,4.8,5.9,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,3,6,True
48,20,Peru,5.5,5.6,4,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,3,7,True
49,22,Venezuela,3.3,6.7,2,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,7,3,False
50,19,Ecuador,6.3,5.2,4,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,2,7,True
51,21,Uruguay,3.8,6.4,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,7,3,False
52,20,Paraguay,4.7,5.8,3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,3,6,True
53,24,Bolivia,2.4,7.2,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,7,3,False
54,19,Costa Rica,5.7,5.5,4,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,3,7,True
55,21,Panama,3.6,6.5,2,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,7,3,False
56,20,Jamaica,4.9,5.6,3,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,3,6,True
57,18,Trinidad,5.6,5.2,4,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,3,7,True
58,23,Bahamas,2.8,7.0,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,7,3,False
59,19,Iceland,4.6,5.9,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,3,6,True
60,20,Finland,5.4,5.7,4,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,3,7,True
61,22,Poland,3.1,7.1,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,7,3,False
62,19,Romania,5.6,5.6,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,3,6,True
63,20,Hungary,4.2,6.0,3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,6,6,False
64,18,Czech Republic,6.1,5.2,4,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,2,7,True
65,23,Slovakia,2.3,7.4,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,7,3,False
66,21,Croatia,4.8,5.8,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,3,6,True
67,20,Serbia,3.9,6.5,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,7,3,False
68,19,Slovenia,5.7,5.4,4,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,3,7,True
69,22,Bulgaria,2.8,7.2,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,7,3,False
70,20,Estonia,4.5,5.9,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,3,6,True
71,18,Latvia,5.4,5.5,4,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,3,7,True
72,21,Lithuania,3.2,6.8,2,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,7,3,False
73,19,Ukraine,4.9,5.7,3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,3,6,True
74,20,Moldova,5.8,5.3,4,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,3,7,True
75,23,Belarus,2.5,7.3,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,7,3,False
76,21,Kazakhstan,4.6,5.8,3,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,3,6,True
77,19,Uzbekistan,5.5,5.4,4,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,3,7,True
78,22,Kyrgyzstan,2.9,7.0,2,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,7,3,False
79,20,Tajikistan,4.7,5.9,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,3,6,True
80,18,Armenia,5.9,5.2,4,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,3,7,True
81,21,Georgia,3.0,7.1,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,7,3,False
82,19,Azerbaijan,4.8,5.7,3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,3,6,True
83,20,Cyprus,3.8,6.6,2,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,7,3,False
84,22,Malta,2.7,7.2,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,7,3,False
85,18,Luxembourg,5.6,5.3,4,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,3,7,True
86,21,Monaco,4.5,5.8,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,3,6,True
87,19,Andorra,5.3,5.5,4,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,3,7,True
88,23,San Marino,2.6,7.3,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,7,3,False
89,20,Vatican City,4.4,6.0,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,6,6,False
90,18,Liechtenstein,5.8,5.2,4,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,3,7,True
91,22,Montenegro,2.9,7.0,2,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,7,3,False
92,19,Albania,4.7,5.8,3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,3,6,True
93,21,North Macedonia,3.7,6.5,2,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,7,3,False
94,20,Kosovo,5.5,5.4,4,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,3,7,True
95,23,Bosnia,2.4,7.4,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,7,3,False
96,19,Qatar,4.9,5.7,3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,3,6,True
97,18,Kuwait,5.7,5.3,4,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,3,7,True
98,22,Bahrain,2.8,7.1,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,7,3,False
99,20,Oman,4.6,5.9,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,3,6,True
100,21,Jordan,5.4,5.5,4,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,3,7,True
101,19,Lebanon,5.8,5.2,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,3,7,True
102,23,Iraq,2.5,7.3,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,7,3,False
103,20,Yemen,4.7,5.8,3,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,3,6,True
104,18,Syria,5.6,5.4,4,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,3,7,True
105,22,Afghanistan,2.9,7.0,2,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,7,3,False
106,19,Pakistan,4.8,5.7,3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,3,6,True
107,21,Nepal,3.8,6.6,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,7,3,False
108,20,Bhutan,5.5,5.5,4,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,3,7,True
109,23,Sri Lanka,2.6,7.2,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,7,3,False
110,19,Maldives,4.9,5.8,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,3,6,True
111,20,Bangladesh,6.1,6.2,4,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,5,7,False
112,21,India,5.8,5.9,3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,3,6,True
113,19,Nepal,4.9,7.1,2,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,7,6,False
114,22,Pakistan,5.5,6.0,4,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,6,7,False
115,20,Sri Lanka,5.2,6.3,3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,6,6,False
116,19,Maldives,4.8,7.2,2,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,7,6,False
117,21,Bangladesh,6.0,5.8,4,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,3,7,True
118,20,India,5.7,6.1,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,6,6,False
119,22,Nepal,4.7,7.3,2,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,7,6,False
120,19,Pakistan,5.4,6.2,4,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,6,7,False
121,20,Sri Lanka,5.9,5.9,3,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,3,6,True
122,21,Maldives,4.6,7.4,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,7,6,False
123,19,Bangladesh,5.3,6.3,4,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,6,7,False
124,22,India,5.8,5.8,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,3,6,True
125,20,Nepal,4.5,7.5,2,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,7,6,False
126,21,Pakistan,5.2,6.4,4,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,6,7,False
127,19,Sri Lanka,5.7,5.7,3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,3,6,True
128,20,Maldives,4.4,7.6,2,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,7,5,False
129,22,Bangladesh,5.1,6.5,4,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,6,7,False
130,21,India,5.6,5.6,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,3,6,True
131,19,Nepal,4.3,7.7,2,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,7,5,False
132,20,Pakistan,5.0,6.6,4,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,6,7,False
133,22,Sri Lanka,5.5,5.5,3,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,3,6,True
134,21,Maldives,4.2,7.8,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,7,5,False
135,19,Bangladesh,4.9,6.7,4,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,6,7,False
136,20,India,5.4,5.4,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,3,6,True
137,22,Nepal,4.1,7.9,2,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,7,5,False
138,21,Pakistan,4.8,6.8,4,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,6,7,False
139,19,Sri Lanka,5.3,5.3,3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,3,6,True
140,20,Maldives,4.0,8.0,2,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,9,5,False
141,22,Bangladesh,4.7,6.9,4,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,6,7,False
142,21,India,5.2,5.2,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,3,6,True
143,19,Nepal,3.9,8.1,2,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,9,2,False
144,20,Pakistan,4.6,7.0,4,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,6,7,False
145,22,Sri Lanka,5.1,5.1,3,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,3,6,True
146,21,Maldives,3.8,8.2,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,9,2,False
147,19,Bangladesh,4.5,7.1,4,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,6,7,False
148,20,India,5.0,5.0,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,3,6,True
149,22,Nepal,3.7,8.3,2,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,9,2,False
150,21,Pakistan,4.4,7.2,4,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,6,7,False
151,19,Sri Lanka,4.9,4.9,3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,3,6,True
152,20,Maldives,3.6,8.4,2,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,9,2,False
153,22,Bangladesh,4.3,7.3,4,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,6,7,False
154,21,India,4.8,4.8,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,3,6,True
155,19,Nepal,3.5,8.5,2,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,9,2,False
156,20,Pakistan,4.2,7.4,4,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,6,7,False
157,22,Sri Lanka,4.7,4.7,3,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,3,6,True
158,21,Maldives,3.4,8.6,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,9,2,False
159,19,Bangladesh,4.1,7.5,4,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,6,7,False
160,20,India,4.6,4.6,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,3,6,True
161,19,Bangladesh,5.3,6.1,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,6,6,False
162,21,India,4.8,7.2,2,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,7,6,False
163,20,Nepal,5.5,5.9,4,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,3,7,True
164,22,Pakistan,4.7,6.3,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,6,6,False
165,19,Sri Lanka,5.1,7.0,2,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,7,6,False
166,21,Maldives,5.4,6.0,4,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,6,7,False
167,20,Bangladesh,4.9,6.4,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,6,6,False
168,22,India,5.2,7.1,2,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,7,6,False
169,19,Nepal,5.6,5.8,4,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,3,7,True
170,21,Pakistan,4.6,6.5,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,6,6,False
171,20,Sri Lanka,5.0,7.3,2,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,7,6,False
172,22,Maldives,5.3,5.7,4,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,3,7,True
173,19,Bangladesh,4.8,6.6,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,6,6,False
174,21,India,5.1,7.4,2,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,7,6,False
175,20,Nepal,5.7,5.6,4,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,3,7,True
176,22,Pakistan,4.5,6.7,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,6,6,False
177,19,Sri Lanka,4.9,7.5,2,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,7,6,False
178,21,Maldives,5.2,5.5,4,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,3,7,True
179,20,Bangladesh,4.7,6.8,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,6,6,False
180,22,India,5.0,7.6,2,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,7,5,False
181,19,Nepal,5.8,5.4,4,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,3,7,True
182,21,Pakistan,4.4,6.9,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,6,6,False
183,20,Sri Lanka,4.8,7.7,2,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,7,5,False
184,22,Maldives,5.1,5.3,4,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,3,7,True
185,19,Bangladesh,4.6,7.0,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,6,6,False
186,21,India,4.9,7.8,2,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,7,5,False
187,20,Nepal,5.9,5.2,4,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,3,7,True
188,22,Pakistan,4.3,7.1,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,6,6,False
189,19,Sri Lanka,4.7,7.9,2,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,7,5,False
190,21,Maldives,5.0,5.1,4,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,3,7,True
191,20,Bangladesh,4.5,7.2,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,6,6,False
192,22,India,4.8,8.0,2,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,9,5,False
193,19,Nepal,6.0,5.0,4,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,3,7,True
194,21,Pakistan,4.2,7.3,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,6,6,False
195,20,Sri Lanka,4.6,8.1,2,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,9,5,False
196,22,Maldives,4.9,4.9,4,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,3,7,True
197,19,Bangladesh,4.4,7.4,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,6,6,False
198,21,India,4.7,8.2,2,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,9,5,False
199,20,Nepal,6.1,4.8,4,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,2,7,True
200,22,Pakistan,4.1,7.5,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,6,6,False
201,19,Sri Lanka,4.5,8.3,2,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,9,5,False
202,21,Maldives,4.8,4.7,4,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,3,7,True
